日付,記念日タイトル,IT関連キーワード,Go言語,ツイート文例,記念日の説明
11-16,幼稚園記念日,サンドボックス,分離,1876年に日本初の官立幼稚園が開園。子供たちを安全な砂場（サンドボックス）で遊ばせるように、プログラムを外部から隔離された環境で実行することで、システムの安全性を保ちます。 #セキュリティ #サンドボックス,1876年に日本初の官立幼稚園である東京女子師範学校附属幼稚園（現在のお茶の水女子大学附属幼稚園）が開園した日。
11-17,将棋の日,探索アルゴリズム,評価関数,徳川吉宗が年に一度、御前で将棋を指させた日。将棋AIは、ミニマックス法などの「探索アルゴリズム」で膨大な指し手を読み、「評価関数」で局面の有利不利を判断しています。 #AI #アルゴリズム #将棋,江戸時代の将軍・徳川吉宗が、この日を「御城将棋の日」として年に一度、御前で将棋を指させたことに由来。
11-18,土木の日,インフラ,Infrastructure as Code (IaC),「土」を分解すると「十一」、「木」を分解すると「十八」になることから。道路や橋（インフラ）を設計図通りに作るように、サーバー構成もコード（IaC）で管理することで、再現性と効率性が格段に向上します。 #IaC #Terraform #SRE,土木学会などが制定。「土」の字を分解すると十一、「木」の字を分解すると十八になることから。
11-19,世界トイレの日,キュー,非同期処理,国連が制定したトイレ問題の啓発デー。一度に処理できない大量のリクエストは、トイレの行列のように「キュー」に溜めて、非同期で順番に処理することで、システム全体の安定性を保ちます。 #キュー #非同期処理 #RabbitMQ,国連が制定した国際デー。世界の衛生問題について考える日。
11-20,ピザの日,マイクロサービス,疎結合,ピッツァ・マルゲリータの名前の由来となった王妃の誕生日。ピザの各トッピング（マイクロサービス）は独立しているけれど、合わさることで美味しい一枚に。APIで疎に連携するのがポイントです。 #マイクロサービス #API,ピッツァ・マルゲリータの名前の由来となったイタリアのマルゲリータ王妃の誕生日にちなむ。
11-21,インターネット記念日,World Wide Web,ティム・バーナーズ＝リー,1995年に郵政省がインターネットの商用利用を許可。WWWを発明したティム・バーナーズ＝リー卿に感謝。Go言語は、Webサーバーを立てるのも標準ライブラリだけで驚くほど簡単です。 #Web #WWW #Go言語,1995年に郵政省がインターネットの商用利用の円滑化を目的としたプロジェクトを開始した日。
11-22,いい夫婦の日,ペアプログラミング,コードレビュー,「いい(11)ふうふ(22)」の語呂合わせ。良い夫婦のように、二人で一つの画面を見ながらコーディングする「ペアプロ」。互いにレビューし合う文化は、品質と信頼関係を高めます。 #ペアプログラミング #アジャイル,「いい(11)ふうふ(22)」の語呂合わせから。
11-23,勤労感謝の日,バッチ処理,cron,国民の祝日。日々の人間の「勤労」を軽減するため、夜間などに動く「バッチ処理」をcronで自動化。我々が休んでいる間も、サーバーは働き続けてくれています。感謝。 #バッチ処理 #cron #自動化,「勤労をたつとび、生産を祝い、国民たがいに感謝しあう」国民の祝日。
11-24,オペラ記念日,オーケストレーション,Kubernetes,1894年に日本で初めてオペラが上演。多数のコンテナ（演者）とネットワーク（舞台装置）を、指揮者（Kubernetes）が華麗に操り、一つの壮大なサービス（オペラ）を上演します。 #Kubernetes #オーケストレーション,1894年に東京音楽学校（現在の東京藝術大学）で、日本で初めてのオペラが上演された日。
11-25,OLの日,RPA (Robotic Process Automation),業務自動化,女性週刊誌で「OL」という言葉が初めて使われた日。PC上の定型的な事務作業（OLの仕事）を、ソフトウェアロボットが代行するのがRPA。働き方改革の切り札です。 #RPA #自動化,1963年に女性週刊誌『女性自身』で「OL（オフィスレディ）」という言葉が初めて使われた日。
11-26,いい風呂の日,セマフォ,リソース制限,「いい(11)ふ(2)ろ(6)」の語呂合わせ。銭湯の洗い場の数に制限があるように、「セマフォ」は同時にアクセスできるgoroutineの数を制限する仕組み。リソースの使いすぎを防ぎます。 #Go言語 #並行処理 #セマフォ,「いい(11)ふ(2)ろ(6)」の語呂合わせから。
11-27,ノーベル賞制定記念日,アルゴリズム,画期的なアイデア,1895年にノーベルが遺言に署名。世界を変えるような画期的な「アルゴリズム」や「アイデア」は、まさにノーベル賞級の価値があります。常に新しい発想を。 #アルゴリズム #イノベーション,1895年にアルフレッド・ノーベルが遺言を書き、ノーベル賞の設立を指示した日。
11-28,太平洋記念日,TCP,コネクション指向,マゼランが太平洋を「平和な海」と名付けた日。通信相手との間にまず経路（コネクション）を確立し、データの到達を保証する「TCP」は、まさに平和で信頼性の高い通信プロトコルです。 #TCP #ネットワーク,1520年にマゼランが、後にマゼラン海峡と命名される海峡を通過して太平洋に出た日。
11-29,いい肉の日,ミドルウェア,Gin/Echo,「いい(11)に(2)く(9)」の語呂合わせ。美味しい肉料理のように、GoのWebフレームワーク(Gin, Echoなど)は、リクエストを捌く本体処理の前後に、様々な処理（ミドルウェア）を挟み込めます。 #Go言語 #Gin #Echo,「いい(11)に(2)く(9)」の語呂合わせから。
11-30,カメラの日,画像認識,機械学習,1977年に小西六写真工業（後のコニカ）が世界初の自動焦点カメラを発売。写真に写っている物体を識別する「画像認識」は、機械学習の中でも特に発展が著しい分野です。 #AI #画像認識 #機械学習,1977年に小西六写真工業（後のコニカ）が世界初の自動焦点（AF）カメラ「コニカ C35 AF」を発売した日。
12-01,映画の日,ストリーミング,DRM,1896年に日本で初めて映画が一般公開。今や映画はストリーミングで観る時代。著作権保護のための「DRM(デジタル著作権管理)」技術が、ビジネスの根幹を支えています。 #ストリーミング #DRM,1896年に神戸で日本で初めて映画が一般公開されたことを記念する日。
12-02,日本人宇宙飛行記念日,リモートアクセス,SSH,1990年にTBSの秋山豊寛特派員がソ連のソユーズで宇宙へ。遠く離れた宇宙（サーバー）にいる仲間と、安全に通信（リモートアクセス）するための通路がSSHです。 #SSH #リモートアクセス #セキュリティ,1990年にTBSの記者だった秋山豊寛さんが、日本人として初めて宇宙へ到達した日。
12-03,カレンダーの日,cron,ジョブスケジューラ,1872年に太陽暦が採用され、カレンダーが必需品になった日。特定の日時に特定の処理を実行する「cron」は、サーバー世界のカレンダーであり、有能な秘書でもあります。 #cron #Linux #バッチ処理,1872年（明治5年）のこの日、日本の暦が太陰暦から太陽暦に改められたことにちなむ。
12-04,E.T.の日,疎結合,API,1982年に映画『E.T.』が日本で公開。少年と宇宙人が心を通わせるように、全く異なるシステム同士が、APIという共通の言語（指先）で繋がり、協調することができます。 #API #疎結合 #マイクロサービス,1982年に映画『E.T.』が日本で公開された日。
12-05,アルバムの日,バックアップ,世代管理,アルバム作りの楽しさを伝える日。大切な写真（データ）は、アルバム（バックアップ）に残しましょう。上書きせず、日付ごとに残す「世代管理」をすれば、いつでも過去に戻れます。 #バックアップ #SRE,いつか（5日）アルバムを作ろう、の語呂合わせ。
12-06,音の日,コーデック,サンプリングレート,1877年にエジソンが蓄音機を発明。アナログな音をデジタルデータに変換する際、音質を決めるのが「サンプリングレート」や「量子化ビット数」。どの「コーデック」を使うかも重要です。 #音声処理 #コーデック,1877年にトーマス・エジソンが蓄音機「フォノグラフ」を発明したことを記念する日。
12-07,クリスマスツリーの日,木構造,DOM,1886年に横浜で日本初のクリスマスツリーが飾られた日。WebページのHTML構造（DOM）は、ツリーの頂点（htmlタグ）から枝葉（各タグ）が広がる、まさに「木構造」です。 #DOM #HTML #フロントエンド,1886年に横浜で、外国人船員のために日本で初めてのクリスマスツリーが飾られた日。
12-08,ジョン・レノンの日,イマジン,PoC (概念実証),ジョン・レノンの命日。「想像してごらん」と歌った彼のように、新しいアイデアをまずは「想像（PoC）」し、実現可能か検証することが、革新的なサービスへの第一歩です。 #PoC #新規事業,1980年にジョン・レノンがニューヨークの自宅前で凶弾に倒れた命日。
12-09,障害者の日,アクセシビリティ(a11y),WAI-ARIA,国際障害者年を記念して制定。全ての人が情報にアクセスできるよう、Webサイトやアプリの「アクセシビリティ」を確保することは、開発者の社会的責務です。 #アクセシビリティ #a11y,1981年の国際障害者年を記念して、1982年に総理府（当時）が制定。
12-10,ノーベル賞授賞式,アルゴリズム,ブレークスルー,ノーベルの命日に毎年授賞式が行われる。世界に衝撃を与えるような画期的なアルゴリズムは、まさにノーベル賞級のブレークスルー。私たちも目指したいですね。 #アルゴリズム #研究開発,ノーベル賞の創設者アルフレッド・ノーベルの命日。
12-11,胃腸の日,ヘルスチェック,タイムアウト設定,「いに(12)いい(11)」の語呂合わせ。胃腸（システム）の調子が悪いと、レスポンスが遅くなります。ヘルスチェックで常に状態を監視し、外部APIへの接続は「タイムアウト」を適切に設定し、もたれないように。 #ヘルスチェック #タイムアウト,「いに(12)いい(11)」の語呂合わせから。
12-12,バッテリーの日,省電力,モバイルアプリ開発,野球のバッテリーの守備位置番号が「1」と「2」であることから。スマホのバッテリー消費を抑えるコードを書くことは、モバイルアプリ開発者の腕の見せ所。バックグラウンド処理は慎重に。 #モバイル開発 #省電力,野球のバッテリーのピッチャー番号「1」とキャッチャー番号「2」から。
12-13,双子の日,冗長化,ホットスタンバイ,「12」と「13」が近い数字であることから。全く同じ構成のサーバーを2台用意する「冗長化」。片方が現役（ホット）、もう片方が常に待機（スタンバイ）する構成で、障害時に即座に切り替わります。 #冗長化 #SRE #高可用性,1874年に「双子の場合は、どちらかを兄・姉と定める」という太政官布告が出された日。
12-14,赤穂義士祭,バッチ処理,ジョブの依存関係,赤穂浪士の討ち入りの日。討ち入りという最終目的（ジョブC）のためには、情報収集（ジョブA）や準備（ジョブB）が必要です。バッチ処理でも、ジョブ間の依存関係を定義することが重要。 #バッチ処理 #ジョブ管理,赤穂浪士が吉良邸に討ち入りを果たした日。
12-15,観光バス記念日,API Gateway,BFF (Backend For Frontend),1925年に東京で遊覧バスが運行開始。観光客（フロントエンド）の様々な要望に応えるため、専用の案内人（BFF）を用意するのがBFFパターン。API Gatewayで実装されます。 #BFF #APIGateway #マイクロサービス,1925年に東京で日本初の定期観光バスである「ユーランバス」の運行が始まった日。
12-16,電話創業の日,VoIP,SIP,1890年に日本で電話事業が開始。インターネット回線を使って音声通話を実現するのが「VoIP」技術。そのための通信プロトコル（作法）がSIPです。 #VoIP #SIP #ネットワーク,1890年に東京と横浜で日本で初めての電話事業が開始された日。
12-17,飛行機の日,クラウド,仮想化,1903年にライト兄弟が初飛行に成功。自前で飛行機（物理サーバー）を持たなくても、必要な時に席（仮想マシン）を借りられるのが「クラウド」。人類は重力からも物理サーバーからも解放されたのです。 #クラウド #仮想化,1903年にライト兄弟が動力飛行機による人類初の飛行に成功した日。
12-18,東京駅完成記念日,ハブアンドスポーク,ネットワークトポロジ,1914年に東京駅が開業。東京駅（ハブ）から各地へ路線（スポーク）が伸びるように、中央の拠点と各地を接続するネットワーク構成を「ハブアンドスポーク」と呼びます。 #ネットワーク #トポロジ,1914年に東京駅の完成式が行われた日。
12-19,日本人初飛行の日,プロトタイプ,MVP (Minimum Viable Product),1910年に徳川好敏大尉が初飛行。いきなり完璧な飛行機（製品）を目指すのではなく、まずは飛行可能な最小限の製品（MVP）を作り、ユーザーの反応を見ながら改善していくのが現代の開発スタイルです。 #MVP #アジャイル #リーンスタートアップ,1910年に徳川好敏大尉が日本で初めて公式の動力飛行に成功した日。
12-20,シーラカンスの日,レガシーコード,保守,1952年にシーラカンスが学術調査された日。「生きた化石」シーラカンスのように、システムの中には変更が困難な「レガシーコード」が存在します。その仕様を理解し、保守できるエンジニアは貴重です。 #レガシーコード #保守,1952年にアフリカ・コモロ諸島でシーラカンスが捕獲され、学術調査が行われた日。
12-21,バスケットボールの日,イベントループ,ノンブロッキングI/O,1891年に初めてバスケットボールの試合が行われた日。一つのボール（スレッド）を複数の選手（処理）がパスし合いながら、コート（CPU）を効率的に使うのが、Node.jsなどのイベントループモデルです。 #Nodejs #非同期,1891年にアメリカで、考案者であるジェームズ・ネイスミスが初めてバスケットボールの試合を行った日。
12-22,冬至,ダークモード,省エネ,一年で最も夜が長い日。長い夜を過ごすエンジニアの目と、有機ELディスプレイのバッテリーに優しい「ダークモード」は、まさに冬至のための機能かもしれません。 #ダークモード #UI,二十四節気の一つで、北半球では一年で最も夜の時間が長くなる日。
12-23,東京タワー完成の日,モニタリング,可視化,1958年に東京タワーが完成。東京の街を見渡せる展望台のように、システムの様々なメトリクスをGrafanaなどで「可視化」することで、サービスの全体像と健康状態を把握できます。 #モニタリング #Grafana #SRE,1958年に東京タワーが完成し、完工式が行われた日。
12-24,クリスマスイブ,デコレータパターン,機能拡張,クリスマスプレゼントにリボンをかけるように、既存のオブジェクトの振る舞いを動的に変更・拡張するのが「デコレータパターン」。Goなら構造体の埋め込みで似たことが可能です。 #デザインパターン #Go言語,クリスマスの前夜。
12-25,クリスマス,ギフト,サプライズリリース,キリストの降誕を祝う日。ユーザーへのクリスマスプレゼントとして、予告なしの新機能（サプライズリリース）をお届けするのも一興。ただし、不具合という名のプレゼントは避けたいですね。 #リリース #マーケティング,イエス・キリストの降誕を祝う日。
12-26,プロ野球誕生の日,A/Bテスト,効果測定,1934年に大日本東京野球倶楽部（後の巨人軍）が創立。A案（剛速球投手）とB案（軟投派投手）、どちらがより高い勝率（コンバージョン率）を叩き出すか。「A/Bテスト」で、最強のチーム（サービス）を作ります。 #ABテスト #マーケティング,1934年にアメリカのプロ野球チームと対戦するため、日本初のプロ野球チーム「大日本東京野球倶楽部」が創立された日。
12-27,浅草仲見世記念日,キャッシュ,高速化,1885年に浅草仲見世が新装開店。何度も浅草寺（DB）までお参りに行かなくても、仲見世（キャッシュ）によく使うお土産（データ）を置いておけば、高速に応答できます。 #キャッシュ #パフォーマンス #Redis,1885年に、それまであった店が取り払われ、近代的な煉瓦作りの商店街として浅草仲見世が新装開店した日。
12-28,仕事納め,バックアップ,最終確認,多くの官公庁や企業で、その年の最後の業務日。一年の労をねぎらう前に、最終日のデータは必ず「バックアップ」を。休暇中の障害に備え、連絡体制の「最終確認」も忘れずに。 #仕事納め #バックアップ #SRE,多くの官公庁や企業で、年末年始休暇前の最後の業務日となる日。
12-29,清水トンネル貫通記念日,SSHトンネリング,ポートフォワーディング,1929年に上越線の清水トンネルが貫通。固い岩盤（ファイアウォール）に安全な「トンネル(SSH)」を掘り、内部の特定ポートに安全にアクセスするのが「ポートフォワーディング」です。 #SSH #ネットワーク #セキュリティ,1929年に上越線の清水トンネルが貫通した日。
12-30,地下鉄記念日,マイクロカーネル,モジュール,1927年に上野〜浅草間に日本初の地下鉄が開業。OSの中核機能（カーネル）を最小限にし、多くの機能を後から追加できる「モジュール」として実装するのがマイクロカーネル。地下鉄の増築に似ています。 #OS #カーネル #マイクロカーネル,1927年に上野駅〜浅草駅間に日本初の地下鉄（現在の東京メトロ銀座線）が開業した日。
12-31,大晦日,cron,年越しバッチ,一年の最後の日。今年も一年お疲れ様でした。今夜もどこかで、新年を迎えるための「年越しバッチ」がcronで実行されているはず。ジョブの成功を祈り、良いお年をお迎えください。 #大晦日 #cron #バッチ処理,一年の最後の日。